foldername|placemark|reportid|reportdesc|county|reportdate|lng|lat
September 1993|September 1993|Report 26850|Forestry Worker Observes a Sasquatch in Clear-Cut Near Feather River|Butte County|1993-09-30|-121.18|39.705
1993|1993|Report 27177|Man remembers sighting while driving on a lonely dark two-lane road near Gorman|Los Angeles County|2010-01-22|-118.5834|34.76666
April 2010|April 2010|Report 27609|Daughter and Mother both observe a large dark creature in the Klamath River bottom|Siskiyou County|2010-04-22|-123.4498|41.65925
October 2010|October 2010|Report 28432|Motorists have sighting along Highway 88 north of Clements|Amador County|2010-10-25|-121|38.25
December 2011|December 2011|Report 32654|Family has sighting while driving along Hwy 96 near Yreka, CA|Siskiyou County|2011-12-03|-122.575|41.845
September 2012|September 2012|Report 39181|Deer hunter has sighting in Sierra Nevada Mtns south of Markleeville|Alpine County|2012-09-23|-119.6234|38.51665
August 2000|August 2000|Report 348|Teen and uncle chase reddish bigfoot in San Isabel National Forest|Alamosa County|2000-08-20|-105.4979|37.57915
August 2000|August 2000|Report 408|Daylight sighting by hikers in the Loveland Pass area (Cont. Div.)|Clear Creek County|2000-08-26|-105.8199|39.67095
August 2000|August 2000|Report 470|Late night sighting by backpacker near Crater Lake|Pitkin County|2000-08-23|-107.0153|39.1084
1971|1971|Report 513|Future doctor sees giant tracks high in Rawah wilderness|Larimer County|1971-07-15|-105.9583|40.79166
September 1998-1999|September 1998-1999|Report 819|Sightings by hunting guide in Pike National Forest|Teller County|1999-09-11|-105.1058|38.8922
September 1998|September 1998|Report 880|Rockhound startled to find he's being observed|Douglas County|1998-09-28|-105.0652|39.21338
May 1977|May 1977|Report 1075|Teens fire at big black thing peeking in window of home|Montrose County|1977-05-01|-107.8833|38.49833
June 1994|June 1994|Report 1351|Various sightings by campers and ranchers along Lake Fork, a tributary of the Conejos River.|Conejos County|1994-06-01|-106.4917|37.30833
July 1997|July 1997|Report 1352|Daylight sighting by hikers near Lake Fork, off the Conejos River.|Conejos County|1997-07-13|-106.5123|37.32255
September 1997|September 1997|Report 1354|Sighting by a motorist|Douglas County|1997-09-02|-104.9677|39.42923
July 1987|July 1987|Report 21359|Morning sighting by fisherman near Rising Fawn|Dade County|2007-09-08|-85.31646|34.42654
April 2000|April 2000|Report 1355|BFRO Investigator, Keith Foster's evaluation of tracks found on the south shore of the Eagle River. App. 1 mile east of the town of Eagle.|Eagle County|2000-03-21|-106.8085|39.6632
November 1997|November 1997|Report 1359|Multi-witness account of an observation of a strange creature on a ridge|El Paso County|1997-11-01|-104.9743|38.8993
April 1998|April 1998|Report 1361|Twenty-two inch tracks found|Fremont County|1998-04-14|-104.9908|38.54166
October 1994|October 1994|Report 1363|strange loud howls heard by retired wildlife biologist on a camping trip.|Lake County|1994-10-23|-106.4269|39.18975
1975|1975|Report 1366|huge human-like handprint found on top of a vandalized sign.|Lake County|1975-07-20|-106.3833|39.26944
August 1990|August 1990|Report 1367|Creature was observed chasing deer.|Larimer County|1990-08-10|-105.3646|40.57499
July 1991|July 1991|Report 1368|witness saw man-like creature covered with dark red hair while hiking in the extreme eastern part of Dinosaur National Monument.|Moffat County|1991-07-02|-108.5417|40.45418
July 1998|July 1998|Report 1374|Creature observed running on hind legs|San Juan County|1998-07-25|-107.7667|37.75417
1981|1981|Report 1376|Man sees large creature while working the late shift at a mine.|Teller County|1981-01-15|-105.1598|38.753
September 1996|September 1996|Report 1760|Bowhunter sees large figure near Cameron Pass|Jackson County|1996-09-20|-105.9333|40.54167
June 1994/95?|June 1994/95?|Report 2667|Couple sees power-walking biped in forest above Leadville|Lake County|1995-06-15|-106.2583|39.24998
August 2001|August 2001|Report 3086|Large creature leaves 12+ handprints on camper trailer during rainy night|Montezuma County|2001-09-08|-108.2083|37.4625
October 1987|October 1987|Report 3185|Co-workers stunned by giant hairy man-thing walking down town street|Fremont County|1987-10-26|-105.1167|38.4
December 1999|December 1999|Report 3506|Trucker has nighttime roadside sighting south of Colorado Springs near Ft. Carson|El Paso County|1999-12-15|-104.8604|38.6691
September 1971|September 1971|Report 3606|Campers have daylight sighting near Leadville|Chaffee County|1971-09-15|-106.3|39.25
September 1998|September 1998|Report 3652|Driver has daylight sighting off CO 91 between Copper Mtn. and Leadville|Summit County|1998-09-19|-106.2275|39.32385
February 2001|February 2001|Report 3653|Daytime sighting by hiker, off West Sopris Creek Road|Pitkin County|2001-02-20|-107.0671|39.3375
June 1996|June 1996|Report 3664|Daytime sighting on the edge of Lost Lake, near the Continental Divide|Jackson County|1996-06-26|-106.6535|40.4521
June 2001|June 2001|Report 3710|Daytime sighting by Pike's Peak tourist|El Paso County|2001-06-30|-104.9917|38.9006
1994|1994|Report 4614|Hikers observe animal in early evening near Blanca Peak|Huerfano County|1994-05-15|-105.4826|37.5969
June 1997|June 1997|Report 5493|Young camper has early morning encounter.|Teller County|2005-03-19|-105.2155|39.11636
January 2001|January 2001|Report 5586|Large creature crosses road in 1 1/2 strides|Archuleta County|2003-04-11|-106.8583|37.025
1985|1985|Report 5608|Young student has early morning sighting.|Las Animas County|2005-04-12|-104.3786|37.09263
November 1990|November 1990|Report 6782|Hunters observe dark creature pounding rocks together|Gunnison County|2003-09-04|-106.6417|38.59998
May 2002|May 2002|Report 6785|Startled hiker sees tall shaggy biped on trail near Leadville|Lake County|2002-05-29|-106.4417|39.0917
September 2002|September 2002|Report 7036|Elk hunter trailed by large biped in twilight, finds tracks the next day|Pitkin County|2003-09-17|-106.625|39.45824
September 1978|September 1978|Report 7225|Picnicker has daytime sighting outside Buffalo Creek|Jefferson County|2005-02-04|-105.3542|39.31667
September 1994|September 1994|Report 7827|Two hunters recount late morning sighting near Hotchkiss|Delta County|1994-09-15|-107.7084|38.875
July 1977|July 1977|Report 10533|Hikers have daylight sighting west of Pikes Peak|Teller County|1977-07-04|-105.1146|38.826
November 1995|November 1995|Report 13411|Man recalls a nighttime sighting while viewing the city lights in Chataqua Park|Boulder County|1995-11-01|-105.298|40.00817
Late 70's|Late 70's|Report 13441|Woman describes night time sighting during childhood in the Pike National Forest|Teller County|1979-06-13|-105.2146|39.0465
October 2004|October 2004|Report 14243|Dusk sighting by charter bus driver on Hwy 160 near Mancos|Montezuma County|2004-10-15|-108.3364|37.33925
June 1999|June 1999|Report 14503|Night time sighting by a youth leader at a bible camp near Grand Junction|Mesa County|1999-05-15|-107.9514|39.16305
July 1998|July 1998|Report 14814|Father and son nighttime roadside sighting in the Wet Mountains southwest of Pueblo|Custer County|1998-07-25|-105.1137|38.0654
August 1964|August 1964|Report 15273|Young picnicker sees strange creature on rocky ledge above the St. Vrain River|Boulder County|1964-08-01|-105.3792|40.17585
May 2006|May 2006|Report 15278|Mid-morning sighting by soldier hunting west of Fort Carson|El Paso County|2006-05-15|-104.9426|38.5859
late 60s|late 60s|Report 15588|Daytime sighting of white creature near Dillon|Summit County|1971-06-30|-106.1666|39.7198
April 1989|April 1989|Report 15630|Miner reports pre-dawn road crossing near Silverton|San Juan County|1989-04-01|-107.7247|37.83905
July 1986|July 1986|Report 17767|Night-time sighting by Marine training near Ft Carson|El Paso County|1986-07-17|-104.875|38.716
December 2002|December 2002|Report 22801|Further apparent corroboration of multiple-witness, winter, nighttime, road-crossing near Kenosha Pass|Park County|2002-12-15|-105.7854|39.39565
September 2009|September 2009|Report 26522|Woman describes vivid early morning sighting just below Independence Pass|Lake County|2009-09-01|-106.5445|39.1006
September 2009|September 2009|Report 26671|Two brothers witness an upright creature while at a cabin near Red Feather|Larimer County|2009-09-22|-105.6385|40.84707
June 2009|June 2009|Report 27057|Former Deputy Sheriff describes morning sighting on Cornwall Mountain|Conejos County|2009-06-10|-106.496|37.37285
August 2010|August 2010|Report 31939|Motorist describes early morning sighting near Buena Vista|Chaffee County|2010-08-15|-106.199|38.83714
May 2012|May 2012|Report 35596|Early evening sighting by two women hiking in Bailey|Park County|2012-05-29|-105.475|39.40589
January 2013|January 2013|Report 39520|Motorists see tall, hairy human-like figure wading across the Colorado River east of Glenwood Springs|Eagle County|2013-01-17|-107.0596|39.37357
June 2012|June 2012|Report 42602|Backpackers hear growls, knocking and observe two large, hairy bipeds at Surprise Lake|Summit County|2012-06-13|-106.3023|39.80777
March 2014|March 2014|Report 45666|Two friends witness daytime road crossing near Conifer|Jefferson County|2014-03-02|-105.2527|39.35503
August 1953|August 1953|Report 16408|Children observe bipedal animal walking along railroad tracks near the Housatonic River|New Haven County|1953-08-01|-73.1512|41.36935
August 76|August 76|Report 115|Young girls have daylight sighting near their home|Holmes County|1976-08-15|-85.6489|30.98555
December 1994|December 1994|Report 246|Daylight sighting by hunter near FL / GA border|Gadsden County|1994-12-18|-84.60745|30.6645
July 74-75|July 74-75|Report 414|Year long sightings by family|Palm Beach County|1974-07-15|-80.21295|26.5931
August 1962|August 1962|Report 445|Boy Scouts have sighting while camping at Quednau Ranch|Charlotte County|1962-08-15|-82.0332|27.0047
August 2000|August 2000|Report 446|Security Guards have sighting while on duty near Jacksonville|Duval County|2000-09-22|-81.52915|30.2333
September 1989|September 1989|Report 591|Driver stops car momentarily on Nova Rd., witnesses a 7-8 foot tall dark creature approach his car..|Brevard County|1989-09-15|-80.8595|28.3725
January 1975|January 1975|Report 592|Two witnesses observed a large, black-brown human-like form  between Wiles Rd. and Sample Rd|Broward County|1975-01-15|-80.1937|26.27395
July 1980|July 1980|Report 594|a sighting by a group of boys along a canal, a mile or so north of South New River.|Broward County|1980-07-15|-80.21025|26.08285
1986|1986|Report 606|witness observed creature running across the road|Clay County|1986-08-15|-81.75165|30.05705
November 1983|November 1983|Report 607|while hunting hogs near a cypress bayhead, witness saw a dark brown/black bi-pedal creature.|Collier County|1983-11-19|-81.76041|26.15915
November 1993|November 1993|Report 720|Hunter reports finding strange tracks in the Everglades, near the area of the Dade County and Collier County line, between Big Cypress and Alligator Alley.|Collier County|1993-11-20|-80.8368|26.06885
July 1997|July 1997|Report 721|Series of reports (6) concerning the Skunk Ape.  Photos of the creature and footcasts|Collier County|1997-07-17|-81.29691|25.91695
February 1998|February 1998|Report 722|Five or Six foot tall ape looking creature observed picking up road kill.|Dixie County|1998-02-09|-82.98365|29.6699
1969-1980|1969-1980|Report 723|creature sitting on a wood pile seen watching witness.|Hernando County|1969-06-15|-82.50591|28.50665
1990|1990|Report 724|Upright creature seen by 3 men fishing in a boat 3 miles from Greenwood|Jackson County|1990-08-15|-85.217|30.8724
July 1980|July 1980|Report 725|Large tracks found investigated by Federal authorities|Lake County|1980-07-02|-81.62275|29.10635
October 1977|October 1977|Report 726|A hitchhiker reports seeing a bigfoot in a forested area off U.S. 441|Marion County|1977-10-05|-82.05835|29.0599
November 1977|November 1977|Report 728|a close-range, daytime sighting by a 67-year-old Baptist minister|Marion County|1977-11-15|-81.90875|29.1951
July 1997|July 1997|Report 729|a daylight sighting by a family on a camping trip|Marion County|1997-07-25|-81.9233|29.19395
1996|1996|Report 730|Sighting by Five witnesses of a large, humanoid form.|Okaloosa County|1996-09-15|-86.5065|30.51295
March 1999|March 1999|Report 731|Motorist found six thirteen by eight and a half inch tracks near a small bridge that led to a large gate.|Osceola County|1999-03-13|-80.93504|28.3609
November 1998|November 1998|Report 733|creature observed walking weird and slightly hunched over.|Osceola County|1998-11-22|-81.12476|27.97255
May 1999|May 1999|Report 734|creature seen in the woods.|Osceola County|1999-05-21|-81.0621|28.1382
January 1999|January 1999|Report 736|while sitting on a tree stand hunter observed bi-pedal creature walking at high speeds.|Osceola County|1999-01-02|-81.19445|27.99245
June 1984|June 1984|Report 737|creature seen in an open field by witness.|Pasco County|1984-06-15|-82.6053|28.3836
1989|1989|Report 746|Sighting by two newspaper deliverymen around 3|Volusia County|1989-04-17|-80.93919|28.85025
January 1982|January 1982|Report 989|Deer hunter spots a large animal run across open area|Santa Rosa County|1982-01-15|-86.9648|30.84015
October 1984|October 1984|Report 1003|Two horseback riders see hairy creature|St. Johns County|1984-10-15|-81.3456|29.85375
